IME,OPIS,CENA
"Samička, 3 meseci","Podarimo mačjo samičko, staro 3 mesece. Vajena je ljudi in življenja zunaj. Kontakt: 040 840 311, Rogatec.",Podarim
Maine coon mladički,"5 čudovitih maine coon mladičkov išče novo prijazno družino. Skoteni so bili 8.8.2019, za oddajo bodo v začetku novembra, ko bodo dopolnili 12 tednov.","300,00 €"
Perzijske muce,"Prodamo perzijske muce. Samo resnim, odgovornim in ljubecim novim lastnikom! ! ! MB 030 693 423","380,00 €"
Podarim mucke - Šentjernej,"Podarim mucke, skotene 1. septembra 2019. Lahko posamezno ali v paru.",Podarim
Mladi mucki,"Podarim mlado mucko staro 6 mesecev in pol. Je prijazna in igriva. Je brikete in konzerve ter pije vodo, oziroma tudi mleko. Biva zunaj, rada pa je tudi",Podarim
Mucka,"2 muceka, plašna stara dobre 4 mesece se oddajata skupaj saj sta zelo navezana drug na drugega. Sta lepa in urejena ( oba sta veterinarsko urejena). Mucka",Podarim
MAČKA,"Pozdravljeni. Danes se je k nam zatekla mlada mačka, stara cca. 3 mesece, sive barve. Z njo smo bili pri veterinarju, kateri jo je pregledal. Je brez bolezni",Podarim
Mainecoon muceki,"Prodam muceke od naše maincoon mucke, se je sparila z britancem. Zelo lepi, puhasti in prijazni. Mucki so igrivi, znajo na wc in vajeni otrok. Prosim za","110,00 €"
Ragdoll mucki,"Na voljo imamo prečudovito leglo Ragdoll muckov (na voljo je še ena mucka, barve blue point). Mucki so redno razglisteni, navajeni na mačji wc in socializirani.","350,00 €"
ORANŽNI MUC RAY IN MUCKA HAČI,"ORANŽNI MUC RAY IN MUCKA HAČI sta se skotila brezdomnima muckama okoli 1. maja. Pri nas sta našla začasni dom. Sta sterilizirana/kastrirana, testirana",Podarim
ORANŽNA RUBY in DOLGODLAKA LADY,"RUBY in DOLGODLAKA LADY sta se skotili brezdomnima muckama okoli 1. maja. Pri nas sta našli začasni dom. Mucki sta sterilizirani, krvno testirani in 1.",Podarim
ORANŽNI MUC RAY IN MUCKA HAČI,"ORANŽNI MUC RAY IN MUCKA HAČI sta se skotila brezdomnima muckama okoli 1. maja. Pri nas sta našla začasni dom. Sta sterilizirana/kastrirana, testirana",Podarim
DOLGODLAKA LADY in oranzna RUBY,"DOLGODLAKA LADY in oranzna RUBY i se skotili brezdomnima muckama okoli 1. maja. Pri nas sta našli začasni dom. Mucki sta sterilizirani, testirani in 1.",Podarim
Oddam muce,"Kosmatinci iščejo nov domek Kontakt: 031 223 084, okolica Kanala ob Soči",Podarim
Scottish fold in straight/ klapouhke,"V novembru pricakujemo leglo Skotskih muc. Mozne rezervacije, muce z vsemi dokumenti. Na slikah starsa. Info na FB: Bora Cat boracattery@gmail.com","600,00 €"
MAINE COON,"HITNO, ODLIČNA CIJENA za ovu ljepoticu, jer nam u Uzgajivačnicu dolaze nove uzgojne mačke. Imamo slobodnu silver ženkicu, na Međunarodnoj izložbi dobila","400,00 €"
Mali mačji srček Taxi (DZZŽ Kranj),"Taxi je mali mačji srček, star 3 mesece. Karakterno je zelo prijazen, socializiran in igriv mačji mladiček. Navajen je mačje družbe, zato bo oddan v dom,",Po dogovoru
Mladiček TYRION cepljen in kastriran,"Tyrion je 4 mesečni mladiček, barve cimeta, cepljen, čipiran, testiran na mačje bolezni (negativen), vajen sobne čistoče in kastriran. Je tipičen mladiček,",Podarim
Dolgodlaka muca,Primerna za oddajo Mesanka Tel 041 311 856,"70,00 €"
Mladička ARYA in JAMIE cepljena in sterilizirana,"Arya (tigrastobela) in Jamie (oranžnobel) sta 4 mesece stara sestrica in bratec, ki sta zelo navezana en na drugega, zato bi si želeli, da v nov dom oditeta",Podarim
