ime,opis,cena
"Maine Coon, krupni, divni cistokrvni, shou in breed","Maine coon je najveca rasa domacih macaka. Armani, Arnika i Aragorn -Maine Coon, cistokrvni macici, od izrazito krupnih roditelja, u mom vlasnistvu i majka","500,00 €"
ORANŽNA RUBY in DOLGODLAKA LADY,"RUBY in DOLGODLAKA LADY sta se skotili brezdomnima muckama okoli 1. maja. Pri nas sta našli začasni dom. Mucki sta sterilizirani, testirani in 1. cepljeni.",Podarim
pasemska britanka FIFE Slovenski rodovnik,V vzrejališču pasemskih britank Kiki cattery v Celju na voljo tudi Nabu .za vse ljubitelje modrih colourpoint britank. Zaenkrat je to zadnja moznost za,"800,00 €"
Ragdoll mucki,"Na voljo imamo prečudovito leglo Ragdoll muckov (na voljo sta še eden mačkon in ena mucka, barve blue point). Mucki so redno razglisteni, navajeni na mačji","350,00 €"
Podarim mucka,"Podarim sivega, 4 mesece starega mucka, potomca dolgodlake mačke. Je samček. Tel. : 031 444 104 Poljane nad Škofjo Loko",Podarim
Mladi mucki,"Podarim dva prikupna in igriva mačja mladiča, vajena ljudi in otrok ter znata uporabljati mačje stranišče. Več informacija na 040 432 810 (Maja)",Podarim
Dolgodlake muce,Prodam mlade mucke mešanke z dolgo dlako. Primerne za oddajo. Tel 041 311 856,"70,00 €"
Gusarka Loti (DZZŽ Kranj),"Loti je stara 5 mesecev. Je prijazna in scrkljana muca. Rada se boža, daje buce in lupčke. Zaprede takoj, ko se jo dotakneš. Loti je bila najdena s poškodbo",Po dogovoru
"Čudovita, prijazna, mehka Manca (DZZŽ Kranj)","Manca je prijazna in nežna muca, ki z veseljem nastavlja svoj trebušček za čohanje in zraven nežno prede. Zna biti tudi živahna in razigrana, kot vsaka",Po dogovoru
Nežni velikan Oktan (DZZŽ Kranj),"Oktan je mlad, nežen muc (ocenjen datum kotitve je 15.4.2019), ki neizmerno uživa v človeški družbi. Cele dneve bi se cartal, igral in spremljal svojega",Po dogovoru
Princeska Lili (DZZŽ Kranj),"Lili je mlada muca (ocenjen datum kotitve je 15.4.2019), ki je polna energije. Najrajši na svetu se igra, takoj za igro pa je na njenem seznamu priljubljenih",Po dogovoru
MLADIČKI,"Podarimo mlade mucke ( na slikah zgoraj). So zelo igrivi, jedo kozervirano in briketirano, navadili pa so se že tudi na mačje stranišče.",Podarim
Podarimo mlade mucke,"Oddamo 3 samičke (punčke). Barve so: siva-tigrasta bela, črno bela, bela s črnimi lisami. Znajo uporabljati mačji WC, vajene so bivanja noter in zunaj.",Podarim
Podarimo muce,Podarimo 4 tigraste muce stare 10 tednov.,Podarim
Maine coon mačka,Zaradi selitve v stanovanje kjer ne želijo živali moram žal prodati svojo čistokrvno maine coon mucko. Mucka je izredno lepe kvadratne postave z ogromnimi,"400,00 €"
Siamski mucek,Čisto krvni siamski maček: - brez rodovnika - zdrav - negovan - star 1 leto - išče siamsko muco za parjenje Več informacij na mailu ali tel. št: 031 266,Po dogovoru
mladi mucki,"Oddam 3 mačje mladiče, eden samček, 2 samici (navedeno v spodnjem desnem kotu slike). Vsi mladiči so navajeni mačjega stranišča, vsi jedo samostojno (po",Podarim
Oddamo mlado muco in mucka,Prijazna mlada mucka stara okrog 3 mesece...,Podarim
Oddam/podarim mlade muce,"Oddam dve simpatični tigrasti mladi muci. Muce so zdrave in zelo igrive, navajene ljudi in živali. Muce so starejše od 12 tednov in primerne za oddajo",Podarim
VRHUNSKI MAČJI MLADIČKI PASME MAINE COON,"Čudoviti mladički muck pasme MAINE COON, starši veleprvaki, mednarodni prvaki, prvaki, testirani ter NEGATIVNI na: HCM, SMA, PKD, PKDef, FELV, FIV, koliki",Po dogovoru
Podarim dve 3-mesečni muci,"Podarim dva 3-mesečna mladička. Muci sta čisti, cartljivi in uporabljata mačje stranišče. Oranžen je samček, siva tigrasta pa samička. Tel. št.: 040 814",Podarim
Igriv zelo mlad črn mucek išče topel dom,"Prijaznim ljudem podarimo najdenega mladega, črnega mucka. Mucek je zdrav, zaupljiv in igriv in se zelo rad boža, star pa je približno 2-3 mesece. Dobro",Podarim
MUCKI,"MUCKI, 4kom., mladi, stari 3 mesece, razlicnih barv, tigrast, samcki in samicke, zdravi, vajeni ostalih domacih zivali, zelo lepi, oddam, oz.podarim.tel.070/641-932.",Podarim
